Regular,ED,EG,G,D,C,O,P,EU
0,1,0,0,0,0,0,1,1
1,1,0,0,0,1,0,1,1
2,1,0,0,0,1,0,1,1
3,1,0,0,0,0,0,1,1
4,1,0,0,0,0,0,1,1
5,1,0,0,0,0,0,1,1
6,1,0,0,0,0,0,1,1
7,1,0,0,0,0,0,1,1
8,1,0,0,0,0,0,1,1
9,1,0,0,0,0,0,1,1
10,1,0,0,0,0,0,1,1
11,1,0,0,0,0,0,1,1
12,1,0,0,0,0,0,1,1
13,1,0,0,0,0,0,1,1
14,1,0,0,0,0,0,1,1
15,1,0,0,0,0,0,1,1
16,1,0,0,0,1,0,1,1
17,1,0,0,0,0,0,1,1
18,1,0,0,0,0,0,1,1
19,0,0,0,0,1,0,1,1
20,1,0,0,0,0,0,1,1
21,1,0,0,0,0,0,1,1
22,1,0,0,0,1,0,1,1
23,1,0,0,0,1,0,1,1
24,1,0,0,0,0,0,1,1
25,1,0,0,0,0,0,1,1
26,1,0,0,0,0,0,1,1
27,1,0,0,0,0,0,1,1
28,1,0,0,0,1,0,1,1
29,1,0,0,0,0,0,1,1
30,1,0,0,0,1,0,1,1
31,1,0,0,0,0,0,1,1
32,1,0,1,0,0,0,1,1
33,0,0,0,0,1,0,1,1
34,1,0,0,0,0,0,1,1
35,1,0,0,0,0,0,1,1
36,8,0,0,0,2,32,10,10
37,6,0,0,0,1,21,9,7
38,6,0,0,0,2,21,9,8
39,4,0,0,0,3,25,8,7
40,8,0,0,0,5,31,15,11
41,9,0,0,0,4,29,18,10
42,5,0,1,0,4,29,13,8
43,6,0,0,0,4,29,13,9
44,6,0,0,0,1,28,8,6
45,4,1,0,0,0,30,6,3
46,4,0,0,0,0,31,5,2
47,4,0,0,0,2,29,6,1
48,6,1,0,0,1,26,9,2
49,2,0,0,0,0,27,3,3
50,3,0,0,0,0,32,3,1
51,2,0,0,0,0,33,3,2
52,3,0,1,0,0,33,3,1
53,1,0,0,0,2,32,4,1
54,1,0,0,0,2,32,4,1
55,1,0,0,0,0,33,3,2
56,1,0,0,0,0,34,2,1
57,3,0,0,0,3,32,4,3
58,4,0,0,0,1,31,5,2
59,5,0,1,0,1,29,6,3
60,3,0,0,0,1,32,4,3
61,3,0,0,0,1,32,4,2
62,2,0,0,0,0,33,3,3
63,2,0,0,0,0,33,3,1
64,7,1,0,0,2,27,9,5
65,4,1,0,0,0,23,8,4
66,5,0,0,0,0,29,7,3
67,3,0,1,0,2,24,7,4
68,8,0,0,0,3,12,12,7
69,3,1,1,0,1,17,6,4
70,4,0,0,0,1,18,6,3
71,8,0,1,0,3,14,10,4
72,4,0,0,0,2,18,6,4
73,3,0,0,0,0,19,5,4
74,5,0,0,0,2,33,10,8
75,5,0,0,0,3,20,11,8
76,2,0,0,0,3,23,8,8
77,2,0,0,0,2,20,11,6
78,2,1,1,0,5,22,14,11
79,2,1,1,0,0,17,8,4
80,5,0,0,0,1,18,7,5
81,4,1,0,0,2,16,9,8
82,6,0,0,0,3,11,8,5
83,6,0,0,0,1,17,8,6
84,6,0,1,0,0,19,6,7
85,10,2,2,1,1,12,13,9
86,5,1,2,1,0,16,9,8
87,10,0,0,0,2,11,14,8
88,9,0,2,0,4,10,15,8
89,6,0,2,0,3,14,11,11
90,5,0,0,0,1,17,8,8
91,7,2,0,0,0,13,11,6
92,9,0,1,0,3,14,11,10
93,8,0,1,2,2,15,10,7
94,6,0,0,0,1,13,12,6
95,8,0,2,1,0,14,11,6
96,5,0,1,0,0,19,6,4
97,6,0,1,0,1,19,6,5
98,5,0,1,0,1,20,5,6
99,2,0,0,0,0,21,4,4
100,4,0,1,1,1,16,9,5
101,4,0,1,0,1,19,6,4
102,3,0,1,2,1,15,9,4
103,4,0,0,0,1,17,8,6
104,4,0,0,1,3,16,9,7
105,5,0,2,0,2,15,10,5
106,3,0,0,1,3,17,8,7
107,7,0,0,0,2,14,11,6
108,5,1,0,1,4,16,9,9
109,5,0,1,0,4,19,12,11
110,2,0,1,0,3,22,9,10
111,2,0,1,0,5,21,10,9
112,3,0,1,0,3,24,7,9
113,7,1,0,0,4,14,11,7
114,6,0,0,0,3,17,8,6
115,8,0,1,0,1,17,8,6
116,4,0,2,0,3,17,8,6
117,4,0,0,0,2,16,9,7
total,421,15,37,11,150,1796,702,497
