Dates,NUPES,Ensemble,LR,RN,REC
2022-05-05,23.0,26.0,12.0,23.0,5.0
2022-05-06,25.855450236966824,27.178561471982157,10.75815444661277,23.0996654586005,5.688946194591581
2022-05-07,25.855450236966824,27.178561471982157,10.75815444661277,23.0996654586005,5.688946194591581
2022-05-08,25.855450236966824,27.178561471982157,10.75815444661277,23.0996654586005,5.688946194591581
2022-05-09,25.855450236966824,27.178561471982157,10.75815444661277,23.0996654586005,5.688946194591581
2022-05-13,28.119008650923544,26.0,10.440495674538228,23.0,5.440495674538227
2022-05-14,26.413618303877243,26.414029319084808,10.672146869434169,22.585970680915192,5.258117550349363
2022-05-15,26.413618303877243,26.414029319084808,10.672146869434169,22.585970680915192,5.258117550349363
2022-05-16,26.627859656841178,26.529586449626045,10.539595248570171,22.37181038275407,5.207215134183898
2022-05-17,25.30332294911734,27.0,10.627622014537902,21.813811007268953,5.0
2022-05-18,25.30332294911734,27.0,10.627622014537902,21.813811007268953,5.0
